killed_by,killer_placement,killer_position_x,killer_position_y,time,victim_placement,victim_position_x,victim_position_y
M16A4,10,423850,327832,292,42,423666,328314
Punch,8,565573,386924,115,24,566513,385896
Kar98k,5,334611,224828,1324,3,353526,211842
UMP9,12,362920,294524,242,5,362198,293602
Down_and_Out,26,408976,478462,501,28,410200,479328
M16A4,22,180662,515329,498,26,169293,515778
M416,1,501016,149662,2074,2,501436,150102
M416,1,550041,593736,1964,2,549674,595038
M16A4,18,199644,287315,388,21,190048,281950
SCAR-L,1,499561,234144,1713,3,485644,234214
SCAR-L,1,414793,480635,812,19,412615,470985
UMP9,11,622015,372157,805,20,615150,371783
AKM,8,553086,543826,863,20,551315,544313
AKM,13,380845,448836,1197,20,382006,423488
Mini_14,46,455795,630656,81,49,456111,630946
DP-28,20,208387,274434,213,24,209834,276420
M416,6,369522,290350,454,23,369660,290349
Down_and_Out,2,372659,403300,1564,7,370382,404820
SKS,2,624064,322743,1338,12,619820,319856
S1897,63,216301,271835,149,83,216434,269748
Down_and_Out,1,264198,276148,1098,17,247811,279512
SCAR-L,3,466060,648821,1548,7,465314,648624
M16A4,14,653857,430959,167,24,654198,430977
SCAR-L,15,364458,409980,331,23,365015,413202
S12K,1,241869,436787,1098,32,242024,436505
Down_and_Out,3,461977,284989,1108,11,443669,260371
S1897,24,353446,571196,541,30,354075,570190
M16A4,14,633564,315427,891,10,630914,314787
Kar98k,1,339539,540064,848,44,323610,545214
S12K,5,431938,186074,167,23,430715,186405
M416,10,461391,652008,250,71,459740,647211
Micro_UZI,10,372419,428946,223,24,372534,428902
AKM,1,370383,420958,374,18,371335,421453
Tommy_Gun,14,439637,278510,101,44,439696,278448
Mini_14,29,430048,628259,494,93,0,0
Mk14,2,220586,425208,1943,,217194,426098
Down_and_Out,1,268376,509615,1912,2,266867,513873
Tommy_Gun,14,485856,451117,235,65,484702,450111
M16A4,18,420515,324213,102,50,419949,324846
